iter	Passed	Remaining
0	2	471
1	13	1287
2	23	1558
3	34	1684
4	45	1755
5	56	1817
6	66	1837
7	77	1852
8	87	1860
9	98	1870
10	109	1880
11	120	1881
12	130	1882
13	141	1878
14	152	1876
15	163	1874
16	173	1870
17	184	1864
18	195	1859
19	205	1852
20	216	1846
21	227	1837
22	238	1832
23	248	1822
24	259	1814
25	269	1805
26	280	1796
27	291	1788
28	301	1779
29	312	1771
30	323	1762
31	333	1753
32	344	1745
33	355	1735
34	366	1725
35	376	1716
36	387	1707
37	398	1698
38	409	1688
39	419	1679
40	430	1669
41	440	1658
42	451	1649
43	462	1639
44	473	1629
45	483	1618
46	494	1608
47	504	1598
48	515	1588
49	518	1554
50	529	1545
51	540	1537
52	550	1527
53	561	1518
54	572	1508
55	583	1499
56	594	1490
57	604	1480
58	615	1470
59	625	1460
60	636	1450
61	647	1440
62	658	1431
63	668	1421
64	679	1411
65	690	1401
66	700	1391
67	711	1381
68	721	1370
69	732	1361
70	743	1351
71	754	1341
72	765	1331
73	775	1320
74	786	1310
75	797	1300
76	808	1291
77	818	1280
78	829	1270
79	840	1260
80	851	1250
81	861	1239
82	872	1229
83	882	1219
84	893	1208
85	903	1198
86	914	1188
87	925	1177
88	935	1167
89	946	1156
90	957	1146
91	967	1136
92	978	1126
93	989	1115
94	1000	1105
95	1011	1095
96	1021	1084
97	1032	1074
98	1043	1064
99	1054	1054
100	1064	1043
101	1075	1033
102	1086	1023
103	1096	1012
104	1107	1002
105	1118	991
106	1128	981
107	1139	970
108	1150	960
109	1161	950
110	1172	939
111	1183	929
112	1193	919
113	1204	908
114	1215	898
115	1226	887
116	1236	877
117	1247	866
118	1258	856
119	1269	846
120	1279	835
121	1290	824
122	1301	814
123	1311	804
124	1322	793
125	1333	783
126	1344	772
127	1354	762
128	1365	751
129	1376	741
130	1387	730
131	1397	720
132	1408	709
133	1419	699
134	1429	688
135	1440	677
136	1451	667
137	1461	656
138	1472	646
139	1482	635
140	1493	624
141	1503	614
142	1514	603
143	1525	593
144	1535	582
145	1546	571
146	1557	561
147	1568	550
148	1578	540
149	1589	529
150	1600	519
151	1611	508
152	1621	498
153	1632	487
154	1643	477
155	1654	466
156	1665	456
157	1675	445
158	1686	434
159	1697	424
160	1707	413
161	1718	403
162	1729	392
163	1740	381
164	1750	371
165	1761	360
166	1771	350
167	1782	339
168	1792	328
169	1804	318
170	1814	307
171	1825	297
172	1836	286
173	1847	276
174	1857	265
175	1868	254
176	1878	244
177	1889	233
178	1900	222
179	1910	212
180	1921	201
181	1932	191
182	1942	180
183	1953	169
184	1964	159
185	1974	148
186	1985	138
187	1996	127
188	2007	116
189	2017	106
190	2028	95
191	2038	84
192	2049	74
193	2060	63
194	2070	53
195	2081	42
196	2091	31
197	2102	21
198	2112	10
199	2123	0
